2017-03-02 17:20:13.948 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'MOTIVACTION\dwoodford' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "MOTIVACTION\dwoodford" /add
2017-03-02 17:20:14.040 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:20:14.073 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:20:14.091 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:20:14.112 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:20:14.137 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:20:14.161 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:20:14.182 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:20:14.201 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:20:23.853 INFO  DefaultFactory Logging to 'C:\Users\dwoodford\Documents\Visual Studio 2015\Projects\EncoreMessageReceiverService\MVCMessagingTest\App_Data\' with level Info
